bResult,rResult,,gamelength,bBarons,rBarons
0,1,,38,[],"[33.418, 23.224]"
0,1,,62,"[24.65, 44.611, 36.67, 56.448]",[]
1,0,,31,[28.129],[]
0,1,,28,[],[21.996]
0,1,,30,[],[26.504]
0,1,,34,[],[32.722]
0,1,,30,[],[23.504]
1,0,,40,[],[]
1,0,,26,[21.89],[]
0,1,,41,[],[37.772]
0,1,,38,[],[34.699]
1,0,,34,[29.984],[]
1,0,,28,[],[]
0,1,,21,[],[]
0,1,,46,[],"[39.185, 31.918]"
0,1,,35,[],[28.524]
1,0,,27,[],[]
1,0,,34,[],[29.085]
0,1,,35,[],[29.161]
1,0,,57,[44.943],"[26.281, 37.129]"
1,0,,36,[],[26.301]
0,1,,37,[29.919],[]
0,1,,36,[],[30.046]
0,1,,32,[],[28.348]
1,0,,41,[],"[38.842, 31.267]"
1,0,,26,[23.314],[]
1,0,,28,[25.075],[]
0,1,,31,[],"[28.216, 20.755]"
0,1,,29,[],[]
1,0,,28,[25.607],[]
1,0,,43,[35.034],[]
0,1,,29,[],[26.27]
0,1,,43,[23.001],"[40.342, 32.638]"
1,0,,35,[30.944],[]
0,1,,34,[22.44],[30.058]
1,0,,22,[],[]
1,0,,28,[25.239],[]
0,1,,30,[],[24.427]
0,1,,37,[],"[35.519, 20.342, 28.158]"
1,0,,28,[22.425],[]
0,1,,39,"[29.362, 37.128]",[]
1,0,,34,[],[]
0,1,,55,[],"[39.133, 47.124]"
0,1,,39,[],[35.796]
1,0,,48,[38.101],[]
1,0,,28,[26.279],[]
1,0,,36,[32.269],[]
1,0,,44,[37.083],[]
1,0,,43,[28.331],[37.938]
0,1,,36,[],[32.292]
1,0,,28,[],[]
1,0,,27,[20.955],[]
1,0,,30,[23.731],[]
0,1,,31,[],[27.751]
1,0,,36,[31.312],[]
1,0,,36,[25.388],[32.919]
1,0,,33,[25.221],[]
1,0,,38,[31.915],[]
1,0,,39,[32.652],[]
1,0,,26,[],[]
0,1,,26,[],[21.931]
1,0,,52,"[35.597, 43.891, 26.083]",[]
1,0,,37,[22.646],[31.702]
0,1,,41,[],[32.134]
1,0,,34,[],[26.631]
0,1,,31,[],[27.499]
1,0,,26,[23.353],[]
1,0,,35,"[26.615, 33.919]",[]
0,1,,31,[],[27.97]
1,0,,30,[20.65],[]
1,0,,29,[],[22.435]
0,1,,32,[],[27.536]
1,0,,38,[34.658],[]
0,1,,35,[23.84],[]
0,1,,33,[],[22.534]
1,0,,31,[26.905],[]
1,0,,25,[],[]
1,0,,44,[40.119],[]
0,1,,44,[21.963],"[30.131, 37.575]"
1,0,,30,[25.692],[]
0,1,,44,[],"[41.251, 34.088]"
1,0,,33,"[23.289, 31.483]",[]
0,1,,29,[],[21.544]
1,0,,31,[25.821],[]
1,0,,44,[27.217],[34.67]
1,0,,29,[27.811],[]
1,0,,42,"[32.139, 24.323]",[]
1,0,,35,[],[32.155]
1,0,,47,[31.864],[40.557]
0,1,,48,[31.981],[40.948]
1,0,,39,"[23.185, 36.919]",[]
1,0,,26,[22.224],[]
0,1,,27,[],[24.649]
1,0,,35,[],[]
1,0,,40,[32.623],[]
0,1,,34,[],[27.47]
1,0,,27,[],[]
1,0,,34,[23.188],[]
1,0,,40,[38.397],[27.582]
0,1,,47,[],"[40.296, 31.493]"
0,1,,38,[],[34.656]
0,1,,48,[],"[24.558, 37.1, 46.6]"
1,0,,34,[25.354],[]
0,1,,45,[],[36.922]
1,0,,44,[37.448],[]
0,1,,43,[40.497],[31.76]
0,1,,34,[],[]
0,1,,51,[45.228],[37.11]
1,0,,52,"[39.731, 50.814]",[]
1,0,,33,[29.042],[]
0,1,,40,[],"[34.659, 27.537]"
0,1,,38,[],[30.818]
1,0,,30,[27.558],[]
0,1,,44,[34.8],[]
0,1,,41,[],"[37.697, 30.454]"
0,1,,36,[],[27.43]
1,0,,27,[23.513],[]
1,0,,33,"[22.238, 30.594]",[]
0,1,,38,[],"[34.653, 27.165]"
1,0,,39,[],[30.301]
0,1,,32,[],[28.409]
1,0,,32,[28.129],[]
1,0,,34,[26.397],[]
1,0,,33,[25.009],[]
0,1,,41,[21.947],[36.328]
1,0,,37,[],[28.447]
0,1,,39,[30.011],[]
1,0,,25,[21.758],[]
0,1,,35,[34.232],[26.156]
1,0,,44,[35.98],[27.807]
0,1,,31,[],[25.646]
1,0,,37,[28.853],[]
1,0,,49,"[34.063, 42.335]",[]
1,0,,44,"[29.274, 36.679]",[21.192]
0,1,,49,[23.14],"[42.859, 34.038]"
1,0,,39,"[33.838, 25.695]",[]
1,0,,53,[35.638],[42.842]
1,0,,37,[],[29.675]
1,0,,53,[],"[47.092, 31.286, 39.49]"
1,0,,51,[],"[49.735, 33.04, 23.19, 40.398]"
1,0,,39,[30.479],[]
0,1,,45,"[28.233, 36.467]",[]
1,0,,52,"[48.177, 29.455]",[]
0,1,,42,[],[37.632]
0,1,,34,[],[31.937]
0,1,,39,[26.849],[36.575]
1,0,,45,[32.268],"[43.667, 20.533]"
1,0,,36,[34.535],[26.16]
0,1,,26,[],[]
1,0,,43,[],[]
0,1,,33,[],[24.265]
0,1,,49,[38.179],"[45.488, 30.728]"
0,1,,40,[],"[37.246, 30.009]"
1,0,,30,[25.507],[]
0,1,,28,[],[]
1,0,,40,[33.113],[]
1,0,,42,[35.887],[]
0,1,,28,[],[22.99]
1,0,,42,[37.307],[29.193]
1,0,,43,[33.541],[]
1,0,,46,"[36.473, 44.39]",[]
1,0,,31,[24.752],[]
1,0,,50,"[46.321, 33.95]",[]
0,1,,25,[],[20.934]
1,0,,32,[26.591],[]
0,1,,32,[],[24.711]
1,0,,30,[25.513],[]
1,0,,31,[20.407],[30.084]
1,0,,41,[],[39.608]
1,0,,39,[34.803],[27.232]
1,0,,34,[31.111],[23.458]
0,1,,38,[],[31.082]
1,0,,37,[30.858],[]
1,0,,33,"[30.951, 23.217]",[]
1,0,,50,[25.16],"[34.249, 41.552]"
0,1,,55,[],"[50.095, 42.24, 22.908, 33.352]"
1,0,,43,"[36.147, 28.526]",[]
1,0,,39,"[27.888, 35.952]",[]
0,1,,34,[],[27.858]
1,0,,28,[24.811],[]
1,0,,26,[23.959],[]
0,1,,33,[],[28.918]
1,0,,32,[28.559],[]
0,1,,34,[],[29.184]
0,1,,36,[],[30.543]
0,1,,59,[],"[32.327, 48.324, 39.5, 23.803, 55.437]"
1,0,,40,"[29.489, 37.239]",[21.922]
1,0,,34,"[31.753, 24.49]",[]
0,1,,45,[],"[26.107, 35.745, 42.907]"
1,0,,33,[29.548],[]
1,0,,49,[29.821],"[37.02, 45.433]"
0,1,,44,[],"[42.38, 31.492]"
0,1,,51,[],"[41.411, 29.92]"
1,0,,41,[35.63],[]
0,1,,35,[],[33.501]
1,0,,30,[27.19],[]
1,0,,46,[43.588],[34.84]
0,1,,30,[],[26.779]
1,0,,45,[31.287],"[38.465, 24.107]"
1,0,,32,[24.549],[]
1,0,,41,"[39.807, 32.155]",[]
1,0,,51,"[33.719, 41.061, 48.657]",[]
0,1,,35,[],[26.248]
